Contrato;Empresa;Cód. Obra;Obra;Cód. Fornecedor;Fornecedor*;CPF/CNPJ Fornecedor; Objeto do Contrato;Data do Contrato;Data de Término;Situação do Contrato;Data da alteração de situação;Descrição da alteração de situação;Responsável;Situação de Autorização;Autorizado por;Cód. Tipo do Contrato;Tipo do Contrato;Total Mão de Obra;Total Material;Total;Total Medido;Saldo;Cód. Centro custo previsão;Centro custo previsão;Cód. departamento previsão;Departamento previsão;Observação da previsão;Total em Aberto;Total Sinal;Cód. Centro custo sinal;Centro custo sinal;Cód. Departamento sinal;Departamento sinal;Vencimento do sinal;Observação do sinal;Retém impostos no sinal;Total Fat. Direto;Total Fat. Direto Vinculado;Fat. direto outro(s) contrato(s);Fat. direto considera indice;Fat. direto por desconto
CTF/7400111;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4119;GA LOCACAO DE EQUIPAMENTOS LTDA;18.635.602/0001-80;LOCAÇÃO DE CARRINHO PARA TRANSPORTE DE PESSOAS - GA LOCAÇÃO;11/11/2024;31/12/2024;Concluído;17/12/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 2.200,00;;R$ 2.200,00;R$ 2.200,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400110;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3639;PROJEPAV ENGENHARIA SOCIEDADE SIMPLES;09.191.615/0001-17;EXECUÇÃO DE SONDAGENS E ENSAIOS - PROJEPAV;05/11/2024;05/01/2025;Concluído;09/12/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;Victoria Herendy;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 7.354,00;;R$ 7.354,00;R$ 7.354,00;;74020;INCORPORAÇÃO - BLVD ALTI;13;INCORPORAÇÃO;;;;;;;;;;não;;;não;não;não
CTF/7400109;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2841;MAXIMA MARKETING PROMOCIONAL LTDA;18.666.314/0001-93;EVENTOS - MAXIMA MARKETING PROMOCIONAL;05/11/2024;15/02/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 18.760,87;R$ 961,77;R$ 19.722,64;R$ 3.221,77;R$ 16.500,87;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 16.500,87;;;;;;;;não;;;não;não;não
CTF/7400108;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4042;ELYON SOLUCOES GRAFICAS LTDA;07.046.094/0001-89;MATERIAIS GRAFICOS - ELYON;04/11/2024;15/06/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 71.596,31;R$ 15.300,00;R$ 86.896,31;R$ 86.896,30;R$ 0,01;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 0,01;;;;;;;;não;;;não;não;não
CTF/7400107;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4111;EDSON RODRIGUES TEIXEIRA;47.128.903/0001-16;AÇÃO PANFLETAGEM - EDSON RODRIGUES;01/11/2024;31/12/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aguardando autorização;Matheus Maia Elias ;1;MATERIAIS E MÃO DE OBRA;R$ 26.100,00;;R$ 26.100,00;R$ 24.000,00;R$ 2.100,00;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 2.100,00;;;;;;;;não;;;não;não;não
CTF/7400106;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3503;TEMP7 AGENCIA DE NOTICIAS LTDA;50.796.046/0001-37;FEE AGENCIA - TEMP7;01/11/2024;29/06/2025;Parcialmente medido;15/01/2025;"Situação alterada através de liberação de medições. O contrato foi totalmente medido.

Situação alterada para inclusão de aditivo.";RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 44.220,00;;R$ 44.220,00;R$ 19.870,00;R$ 24.350,00;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 26.785,00;;;;;;;;não;;;não;não;não
CTF/7400105;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4092;LITTERA DESIGN COMERCIO DE IMPRESSOS LTDA;73.057.960/0001-61;IMPRESSÃO DE PLACAS - LITTERA DESIGN;01/11/2024;31/12/2024;Concluído;22/11/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 2.642,72;;R$ 2.642,72;R$ 2.642,72;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400104;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2852;FLASH TECNOLOGIA E PAGAMENTOS LTDA.;32.223.020/0001-18;PREMIAÇÃO - FLASH;01/11/2024;31/12/2024;Parcialmente medido;;;GUSTAVO NASCIMENTO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 40.000,00;;R$ 40.000,00;R$ 5.000,00;R$ 35.000,00;74020;INCORPORAÇÃO - BLVD ALTI;7;COMERCIAL;;R$ 35.000,00;;;;;;;;não;;;não;não;não
CTF/7400103;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2841;MAXIMA MARKETING PROMOCIONAL LTDA;18.666.314/0001-93;EVENTOS - MAXIMA MARKETING PROMOCIONAL;31/10/2024;28/07/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aguardando autorização;Matheus Maia Elias ;1;MATERIAIS E MÃO DE OBRA;R$ 118.887,96;;R$ 118.887,96;R$ 117.388,93;R$ 1.499,03;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 1.499,03;;;;;;;;não;;;não;não;não
CTF/7400102;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4094;PRIME MEDIA PAINEIS LTDA;56.994.167/0001-70;LOCAÇÃO/ PRODUÇÃO DE PLACAS E PAINEIS CASTELO - PRIME MEDIA;31/10/2024;25/06/2025;Concluído;13/02/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 122.869,99;;R$ 122.869,99;R$ 122.869,99;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400101;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4078;GAMGRAF GRAFICA, FOTOLITO E EDITORA LTDA;68.901.677/0001-34;MATERIAIS GRAFICOS - GAMGRAF;31/10/2024;28/12/2024;Concluído;25/11/2024;realizado adt negativo solicitado pela área, zerando o saldo. por este motivo estamos concluindo o CTF.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;LILIANE SILVA;1;MATERIAIS E MÃO DE OBRA;R$ 7.467,60;;R$ 7.467,60;R$ 7.467,60;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400100;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4114;AO NATURAL JARDIM VERTICAL E PAISAGISMO LTDA;42.692.966/0001-87;EXECUÇÃO DE PAREDE VERDE NOS DECORADOS - AO NATURAL;29/10/2024;29/01/2025;Parcialmente medido;11/12/2024;"Situação alterada através de liberação de medições. O contrato foi totalmente medido.

Situação alterada para inclusão de aditivo.";RAFAEL SUDA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 3.446,10;R$ 6.185,90;R$ 9.632,00;R$ 8.837,00;R$ 795,00;74020;INCORPORAÇÃO - BLVD ALTI;5;ENGENHARIA;;R$ 795,00;;;;;;;;não;;;não;não;não
CTF/7400099;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4096;ROCONTEC CONSTRUCOES E INCORPORACOES LTDA;14.464.810/0001-03;SERVIÇOS DE PRÉ-CONSTRUÇÃO DO EMPREENDIMENTO - ROCONTEC;29/10/2024;29/10/2025;Parcialmente medido;;;Victoria Herendy;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 300.000,00;;R$ 300.000,00;R$ 150.000,00;R$ 150.000,00;74020;INCORPORAÇÃO - BLVD ALTI;14;PLANEJAMENTO;;R$ 180.000,00;;;;;;;;não;;;não;não;não
CTF/7400098;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3920;MRG PROJETOS ESTRUTURAIS E ENGENHARIA DE PROJETOS LTDA.;14.156.688/0001-08;PROJETO ESTRUTURAL - MRG PROJETOS;29/10/2024;28/12/2025;Parcialmente medido;;;Victoria Herendy;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 165.000,00;;R$ 165.000,00;R$ 49.500,00;R$ 115.500,00;74020;INCORPORAÇÃO - BLVD ALTI;14;PLANEJAMENTO;;R$ 115.500,00;;;;;;;;não;;;não;não;não
CTF/7400097;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4078;GAMGRAF GRAFICA, FOTOLITO E EDITORA LTDA;68.901.677/0001-34;MATERIAIS GRAFICOS - GAMGRAF;28/10/2024;28/12/2024;Concluído;12/11/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 400,00;;R$ 400,00;R$ 400,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400096;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3262;SRM MASS COMUNICATION LTDA;02.385.221/0001-50;PRODUÇÃO DE EVENTO (MEETING) - SRM MASS;24/10/2024;15/01/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 158.721,47;;R$ 158.721,47;R$ 153.812,45;R$ 4.909,02;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 4.909,02;;;;;;;;não;;;não;não;não
CTF/7400095;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4063;PROMO SP PROMOCAO E EVENTOS LTDA;51.735.472/0001-23;EVENTO DIA DAS CRIANCAÇAS - PROMOSP;24/10/2024;15/01/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 33.327,00;;R$ 33.327,00;R$ 33.141,60;R$ 185,40;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 185,40;;;;;;;;não;;;não;não;não
CTF/7400094;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4108;LDS REVESTIMENTOS LTDA;54.136.954/0001-55;INSTALAÇÃO DE PAPEL DE PAREDE DECORADOS HN4 - LDS REVESTIMENTOS;24/10/2024;24/12/2024;Concluído;04/12/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;ANA PAULA MINOMO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 4.200,00;;R$ 4.200,00;R$ 4.200,00;;74020;INCORPORAÇÃO - BLVD ALTI;18;PRODUTO;;;;;;;;;;não;;;não;não;não
CTF/7400093;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3481;TIAGO ALVES DELLAQUA 33128012814;36.945.502/0001-32;SERVIÇOS DE TRANSPORTE - TOP TRANSPORTES;23/10/2024;15/01/2025;Concluído;05/12/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;ANA PAULA MINOMO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 3.190,00;;R$ 3.190,00;R$ 3.190,00;;74020;INCORPORAÇÃO - BLVD ALTI;18;PRODUTO;;;;;;;;;;não;;;não;não;não
CTF/7400092;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;1318;ESPAVO COMUNICACOES E EVENTOS LTDA;60.740.040/0001-00;PATROCINIO (JANTAR DE NEGOCIOS VIVA) - ESPAVO;22/10/2024;22/10/2025;Concluído;29/10/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 12.000,00;;R$ 12.000,00;R$ 12.000,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;sc1947 #1230;;;;;;;;;não;;;não;não;não
CTF/7400091;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;1725;MIDIA ENGENHARIA E PUBLICIDADE LTDA;00.598.654/0001-69;COMUNICAÇÃO VISUAL (IMPRESSÃO DIGITAL LONA VINILICA);22/10/2024;22/10/2025;Concluído;07/02/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 41.400,00;;R$ 41.400,00;R$ 41.400,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;sc1939 #1202;;;;;;;;;não;;;não;não;não
CTF/7400090;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4042;ELYON SOLUCOES GRAFICAS LTDA;07.046.094/0001-89;MATERIAIS GRAFICOS - ELYON;21/10/2024;21/12/2024;Concluído;21/11/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 13.255,00;;R$ 13.255,00;R$ 13.255,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400089;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2659;HIGOR ARAUJO DE OLIVEIRA 38257482862;22.012.957/0001-90;PRODUÇÃO DE CONTEUDO MEETING -  HIGOR ARAUJO;21/10/2024;30/12/2024;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 22.300,00;;R$ 22.300,00;R$ 15.300,00;R$ 7.000,00;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;R$ 7.000,00;;;;;;;;não;;;não;não;não
CTF/7400088;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4064;MB CONSULTORIA EM TRANSPORTES VERTICAIS EIRELI;20.939.715/0001-11;CONSULTORIA DE ELEVADORES - MB CONSULTORIA - 100% SERVIÇOS;21/10/2024;25/10/2025;Parcialmente medido;;;Victoria Herendy;Aprovada;Sienge Api;2;MÃO DE OBRA;R$ 24.000,00;;R$ 24.000,00;R$ 16.000,00;R$ 8.000,00;74020;INCORPORAÇÃO - BLVD ALTI;14;PLANEJAMENTO;sc1935 #1270;R$ 8.000,00;;;;;;;;não;;;não;não;não
CTF/7400087;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3966;LEONARDI CONSTRUCAO INDUSTRIALIZADA LTDA;59.893.545/0001-17;PROJETO DE ESTRUTURA PRE MOLDADO - LEONARDI - 100% SERVIÇOS;21/10/2024;25/10/2025;Parcialmente medido;;;Victoria Herendy;Aprovada;Sienge Api;2;MÃO DE OBRA;R$ 948.423,75;;R$ 948.423,75;R$ 284.527,13;R$ 663.896,62;74020;INCORPORAÇÃO - BLVD ALTI;14;PLANEJAMENTO;sc1936 #1268;R$ 663.896,62;;;;;;;;não;;;não;não;não
CTF/7400086;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4042;ELYON SOLUCOES GRAFICAS LTDA;07.046.094/0001-89;SERVIÇOS GRAFICOS - ELYON;18/10/2024;18/12/2024;Rescindido;25/11/2024;ADT NEGATIVO PARA BAIXA DE SALDO SOLICITADO PELO MKT 25/11;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Matheus Maia Elias ;1;MATERIAIS E MÃO DE OBRA;;;;;;;;;;;;;;;;;;;não;;;não;não;não
CTF/7400085;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;614;TOPOGRAF AGRIMENSURA LTDA;58.975.541/0001-15;PROJETO TERRAPLENAGEM E GEOMETRIA - TOPOGRAF;16/10/2024;25/12/2024;Concluído;25/10/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;ANA PAULA MINOMO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 7.500,00;;R$ 7.500,00;R$ 7.500,00;;74020;INCORPORAÇÃO - BLVD ALTI;18;PRODUTO;SC1951 #1247;;;;;;;;;não;;;não;não;não
CTF/7400084;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2852;FLASH TECNOLOGIA E PAGAMENTOS LTDA.;32.223.020/0001-18;VERBA PARA PAGAMENTO DE MEETA AOS CORRETORES - FLASH;10/10/2024;31/12/2024;Rescindido;31/01/2025;7400084 encerrado nesta data a pedido da area comercial.;GUSTAVO NASCIMENTO;Aguardando autorização;LILIANE SILVA;1;MATERIAIS E MÃO DE OBRA;R$ 2.800,00;;R$ 2.800,00;R$ 2.800,00;;74020;INCORPORAÇÃO - BLVD ALTI;7;COMERCIAL;;;;;;;;;;não;;;não;não;não
CTF/7400083;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2659;HIGOR ARAUJO DE OLIVEIRA 38257482862;22.012.957/0001-90;PRODUÇÃO DE VIDEO + COBERTURA FOTOGRAFICA;08/10/2024;25/12/2024;Concluído;16/10/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 8.300,00;;R$ 8.300,00;R$ 8.300,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400082;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3819;ECOSTANDS-SERVICOS DE MONTAGENS DE STANDS LTDA;12.410.588/0001-30;AR CONDICIONADO DECORADOS - ECOAR;08/10/2024;08/12/2024;Concluído;25/03/2025;adt negativo realizado neste contrato, contrato finalizado.;RAFAEL SUDA;Aguardando autorização;LILIANE SILVA;1;MATERIAIS E MÃO DE OBRA;R$ 6.515,61;R$ 15.005,65;R$ 21.521,26;R$ 21.521,26;;74020;INCORPORAÇÃO - BLVD ALTI;5;ENGENHARIA;;;;;;;;;;não;;;não;não;não
